Doc_ID,Hypothesis_ID,Gold_Label,Evidence_Text,Primary_Pattern,Secondary_Patterns,Cue_Words,Evidence_Structure,Divergence_Flag,Confidence,Complexity_Score,Notes
160,nda-13,Entailment,"Except as provided in
---
(i)-(iii) of 2.0 Confidential Information Defined, the term ""Information"" as used herein does not include any data or information which is already known to the receiving party at the time it is disclosed to the receiving party, or which before being divulged by the receiving party
---
(b) has been rightfully received by the receiving party from a third party without restriction on disclosure and without, to the knowledge of the receiving party, a breach of an obligation of confidentiality running directly or indirectly to the other party hereto;",P06,"P02, P03, P07, P08, P09",P06=does not include|Confidential Information|receiving party; P02=does not include|without; P03=Except; P07=receiving party|third party|party; P08=any,Multi-span,No divergence,High,6,"The cited evidence supports permission to obtain similar information from a third party. Extraction depends on a defined-term dependency, negative wording, and an exception or carve-out. The cited spans must be read together; no single span supplies the complete answer."
160,nda-5,Entailment,"Each party has requested or may be receiving from the other party information of a non-public nature for use by each party and its officers, directors, agents, employees, and representatives, including financial and legal advisers and, if either party is a partnership, its partners (collectively, ""Representatives"") in connection with consideration by the parties of a possible agreement, partnership, joint venture, consortium relationship, or other business relationship between the parties (the “Project”).
---
Each party receiving any Information shall keep such Information confidential and shall not disclose such Information, in whole or in part, to any person other than its representatives who need to know such Information in connection with the receiving party's evaluation thereof and determination of business strategies, or other actions in connection with the Project (it being agreed and understood that such representatives shall be informed by the receiving party of the confidential nature of the Information and shall be required by the receiving party to agree to treat the Information confidentially), except with the prior written consent of the other party hereto or as otherwise permitted hereunder.",P07,"P01, P08",P07=receiving party|representatives|employees; P01=shall not|shall|may; P08=in whole or in part|need to know|any,Multi-span,No divergence,High,3,"The cited evidence supports permission to disclose Confidential Information to employees. Extraction depends on the identity or role of the relevant party, legal obligation, permission, or prohibition, and the breadth of the clause."
160,nda-4,NotMentioned,N/A,P10,,,None,No divergence,High,1,The contract does not directly address the restriction of use to the stated contractual purpose. Inferring the usual NDA position despite the silence would create a NotMentioned hallucination risk.
161,nda-11,Entailment,"No party, as Recipient, will decompile, disassemble, reverse engineer or attempt to reconstruct, identify or discover any source code, underlying ideas, techniques or algorithms in Confidential Information by any means whatever, except as may be specifically authorized in advance by Discloser in writing.",P01,P08,P01=will|may; P08=any,Single-span,No divergence,High,2,"The cited evidence supports the prohibition on reverse engineering. Extraction depends on legal obligation, permission, or prohibition, and the breadth of the clause."
161,nda-16,Entailment,"Recipient shall, upon termination of this Agreement, or upon written request of Discloser, whichever is earlier, immediately, but not later than 10 days after any notice thereof by Discloser, return (or destroy at Discloser’s option) all copies of such Discloser’s Confidential Information and certify in writing its compliance with this requirement, except that Recipient may retain a copy of such Confidential Information solely for archival purpose.",P05,"P01, P03, P04, P08",P05=upon termination|after; P01=shall|may; P03=except; P04=upon written request|upon termination; P08=solely|all|any,Single-span,No divergence,High,5,"The cited evidence supports the duty to return or destroy Confidential Information on termination. Extraction depends on timing, termination, or duration, legal obligation, permission, or prohibition, and an exception or carve-out."
161,nda-15,Entailment,"Confidential Information disclosed by Discloser shall remain the property of such Discloser, and no license or other rights to such Discloser’s Confidential Information is granted or implied hereby.",P01,"P02, P08",P01=no license|shall; P02=no license,Single-span,No divergence,High,3,"The cited evidence supports the denial of licence or other rights in Confidential Information. Extraction depends on legal obligation, permission, or prohibition, negative wording, and the breadth of the clause. breadth gap"
161,nda-10,Entailment,"Furthermore, the existence of any business negotiations, discussions or agreements in progress between the parties shall be kept confidential and shall not be disclosed without written approval of all the parties.",P01,"P02, P08",P01=shall not|shall; P02=shall not|without; P08=all|any,Single-span,No divergence,High,3,"The cited evidence supports confidentiality of the existence or negotiation of the agreement. Extraction depends on legal obligation, permission, or prohibition, negative wording, and the breadth of the clause."
161,nda-2,Contradiction,"“Confidential Information” includes all business, financial, contractual, marketing and/or technical information, in whatever form embodied, which has been or may be disclosed, or to which access is provided, by a party (“Discloser”) to the other party to this Agreement (“Recipient”), which",P06,P08,P06=includes|Confidential Information|Recipient; P08=all,Single-span,No divergence,High,2,"The cited evidence contradicts the claim that Confidential Information is limited to technical information. Extraction depends on a defined-term dependency, and the breadth of the clause."
161,nda-1,Entailment,"“Confidential Information” includes all business, financial, contractual, marketing and/or technical information, in whatever form embodied, which has been or may be disclosed, or to which access is provided, by a party (“Discloser”) to the other party to this Agreement (“Recipient”), which
---
(a) if in writing, is marked “confidential”, “proprietary” or other similar marking at the time of disclosure, or
---
(b) if provided orally or visually, is identified as confidential at the time of disclosure and confirmed in writing to Recipient within 15 days of such disclosure.",P06,"P04, P08",P06=includes|Confidential Information|Recipient; P04=if; P08=all|similar,Multi-span,No divergence,High,3,"The cited evidence supports the express-identification requirement. Extraction depends on a defined-term dependency, a triggering condition, and the breadth of the clause."
161,nda-19,Entailment,"However, any termination of this Agreement shall not relieve Recipient of its confidentiality and use obligations with respect to Confidential Information disclosed prior to the date of such termination.
---
Except for the right to use Confidential Information for the Purpose, which right terminates when this Agreement terminates, Recipient’s duty to protect Discloser’s Confidential Information expires 5 years from the date on which that Confidential Information was disclosed to Recipient.
---
Sections 4, 5, 7, 8, 10, 11, 12, 13, 14, 15 and 16 shall survive any termination of this Agreement.",P05,"P01, P08, P09",P05=prior to|survive|termination; P01=shall not|shall; P08=any,Multi-span,No divergence,High,4,"The cited evidence supports survival of obligations after termination. Extraction depends on timing, termination, or duration, legal obligation, permission, or prohibition, and the breadth of the clause. The cited spans must be read together; no single span supplies the complete answer."
161,nda-12,Entailment,"Confidential Information does not include, and the obligations under Section 2 shall not apply to, information that such Recipient can evidence:
---
(b) is rightfully in its possession prior to disclosure to Recipient by Discloser;
---
(e) is independently developed without use of Discloser’s Confidential Information.",P06,"P08, P09",P06=does not include|Confidential Information|Recipient,Multi-span,No divergence,High,3,"The cited evidence supports permission to develop similar information independently. Extraction depends on a defined-term dependency, the breadth of the clause, and integration of multiple dependent clauses. The cited spans must be read together; no single span supplies the complete answer. breadth gap"
161,nda-20,Entailment,"Recipient shall, upon termination of this Agreement, or upon written request of Discloser, whichever is earlier, immediately, but not later than 10 days after any notice thereof by Discloser, return (or destroy at Discloser’s option) all copies of such Discloser’s Confidential Information and certify in writing its compliance with this requirement, except that Recipient may retain a copy of such Confidential Information solely for archival purpose.",P03,"P01, P04, P05, P08",P03=except; P01=shall|may; P04=upon written request|upon termination; P05=upon termination|after; P08=solely|all|any,Single-span,No divergence,High,5,"The cited evidence supports permission to retain Confidential Information after return or destruction. Extraction depends on an exception or carve-out, legal obligation, permission, or prohibition, and a triggering condition."
161,nda-3,Entailment,"“Confidential Information” includes all business, financial, contractual, marketing and/or technical information, in whatever form embodied, which has been or may be disclosed, or to which access is provided, by a party (“Discloser”) to the other party to this Agreement (“Recipient”), which
---
(a) if in writing, is marked “confidential”, “proprietary” or other similar marking at the time of disclosure, or
---
(b) if provided orally or visually, is identified as confidential at the time of disclosure and confirmed in writing to Recipient within 15 days of such disclosure.",P06,"P01, P04, P05, P08, P09",P06=includes|Confidential Information|Recipient; P01=may; P04=if; P05=within 15 days; P08=all|similar,Multi-span,No divergence,High,6,"The cited evidence supports the inclusion of verbally conveyed information. Extraction depends on a defined-term dependency, legal obligation, permission, or prohibition, and a triggering condition. The cited spans must be read together; no single span supplies the complete answer."
161,nda-18,NotMentioned,N/A,P10,,,None,No divergence,High,1,"The contract does not address solicitation, recruitment, or hiring of the Disclosing Party's representatives; ordinary employee-access language is not a solicitation rule."
161,nda-7,Contradiction,"Recipient may disclose Discloser’s Confidential Information to Recipient’s affiliates on the condition that Recipient shall restrict access to Discloser’s Confidential Information to those of Recipient’s affiliates’ officers, directors and employees who have a legitimate need-to-know to carry out the Purpose and who are obligated to protect such Confidential Information pursuant to terms and conditions no less protective of Discloser than those contained in this Agreement and Recipient shall be liable for any failure of its affiliates to abide by the provisions of this Agreement as if such failure was the act or omission of such party.
---
Without limiting the generality of the foregoing, each party, as Recipient, further promises and agrees:
---
(a) not to, directly or indirectly, in any way, disclose, make accessible, reveal, report, publish, disseminate or transfer any Confidential Information to any third party;",P03,"P01, P02, P07, P08",P03=Without limiting; P01=may disclose|shall; P02=not|Without; P07=third party|employees|officers; P08=any|each,Multi-span,Possible divergence,Medium,5,"The clause permits disclosure with prior written consent or to a qualified non-employee category. Because the hypothesis asks only whether some third-party disclosure is possible in some circumstances, the Contradiction label is debatable."
161,nda-17,Entailment,"Without limiting the generality of the foregoing, each party, as Recipient, further promises and agrees:
---
(d) not to reproduce or copy Confidential Information except to the extent necessary to further the Purpose.",P03,"P02, P08",P03=to the extent|Without limiting|except; P02=not|Without; P08=each|necessary,Multi-span,No divergence,High,3,"The cited evidence supports permission to make copies in limited circumstances. Extraction depends on an exception or carve-out, negative wording, and the breadth of the clause."
161,nda-8,Entailment,"A disclosure by Recipient of Confidential Information of another party in response to a valid order by a court or governmental body or as otherwise required by law shall not be considered to be a breach of this Agreement or a waiver of confidentiality for other purposes; provided, however, such Recipient shall provide prompt prior written notice thereof to Discloser and permit such Discloser to seek measures to maintain the confidentiality of its Confidential Information.",P04,"P01, P07, P08",P04=required by law; P01=shall not|shall; P07=Recipient|Discloser|party,Single-span,No divergence,High,4,"The cited evidence supports the duty to notify the Disclosing Party before compelled disclosure. Extraction depends on a triggering condition, legal obligation, permission, or prohibition, and the identity or role of the relevant party. breadth gap"
161,nda-13,Entailment,"Confidential Information does not include, and the obligations under Section 2 shall not apply to, information that such Recipient can evidence:
---
(c) is received in good faith by Recipient from a third party, free of any obligation of confidentiality;",P06,"P02, P07, P08, P09",P06=does not include|Confidential Information|Recipient; P02=shall not|does not include; P07=third party|Recipient; P08=any,Multi-span,No divergence,High,5,"The cited evidence supports permission to obtain similar information from a third party. Extraction depends on a defined-term dependency, negative wording, and the identity or role of the relevant party. The cited spans must be read together; no single span supplies the complete answer."
161,nda-5,Entailment,"Recipient may disclose Discloser’s Confidential Information to Recipient’s affiliates on the condition that Recipient shall restrict access to Discloser’s Confidential Information to those of Recipient’s affiliates’ officers, directors and employees who have a legitimate need-to-know to carry out the Purpose and who are obligated to protect such Confidential Information pursuant to terms and conditions no less protective of Discloser than those contained in this Agreement and Recipient shall be liable for any failure of its affiliates to abide by the provisions of this Agreement as if such failure was the act or omission of such party.
---
Without limiting the generality of the foregoing, each party, as Recipient, further promises and agrees:
---
(c) to restrict access to Confidential Information to those of its officers, directors and employees who have a legitimate need-to-know to carry out the Purpose and who are obligated to protect such Confidential Information pursuant to terms and conditions no less protective of Discloser than those contained in this Agreement; and",P07,"P01, P08",P07=employees|officers|directors; P01=may disclose|shall; P08=any|each,Multi-span,No divergence,High,3,"The cited evidence supports permission to disclose Confidential Information to employees. Extraction depends on the identity or role of the relevant party, legal obligation, permission, or prohibition, and the breadth of the clause."
161,nda-4,Entailment,"Without limiting the generality of the foregoing, each party, as Recipient, further promises and agrees:
---
(b) not to use any Confidential Information in any manner whatsoever, except in furtherance of the Purpose in accordance with this Agreement; and",P03,"P02, P08, P09",P03=Without limiting|except; P02=not|Without; P08=any|each,Multi-span,No divergence,High,4,"The cited evidence supports the restriction of use to the stated contractual purpose. Extraction depends on an exception or carve-out, negative wording, and the breadth of the clause. The cited spans must be read together; no single span supplies the complete answer."
162,nda-11,Entailment,"4.2 All Confidential Information disclosed by the Disclosing Party to the Recipient or which otherwise comes to the knowledge of the Recipient, is acknowledged by the Recipient –
---
The Recipient irrevocably and unconditionally agrees and undertakes
---
4.3.4 not to decompile, disassemble or reverse engineer or otherwise modify, adapt, alter or vary the whole or any part of the Confidential Information;",P01,"P02, P08",P01=undertakes; P02=not; P08=All|any,Multi-span,No divergence,High,3,"The cited evidence supports the prohibition on reverse engineering. Extraction depends on legal obligation, permission, or prohibition, negative wording, and the breadth of the clause."
162,nda-16,NotMentioned,N/A,P10,"P05, P01, P08",P05=survive|termination; P01=shall|may; P08=any,None,No divergence,High,4,"The contract contains related language, but it does not directly establish the duty to return or destroy Confidential Information on termination. An AI system may anchor on the related clause and infer a definite answer."
162,nda-15,Entailment,"4.2 All Confidential Information disclosed by the Disclosing Party to the Recipient or which otherwise comes to the knowledge of the Recipient, is acknowledged by the Recipient –
---
4.2.1 to be proprietary to the Disclosing Party and/or one or more of its Affiliates; and
---
4.2.2 not to confer any rights of whatsoever nature in such Confidential Information on the Recipient.
---
All Confidential Information disclosed by the Disclosing Party to the Receiving Party is acknowledged by the Receiving Party:
---
8.1 to be proprietary to the Disclosing Party; and
---
8.2 not to confer any rights of whatever nature in such Confidential Information to the Receiving Party.",P01,"P02, P08, P09",P01=not to confer; P02=not; P08=All|any,Multi-span,No divergence,High,4,"The cited evidence supports the denial of licence or other rights in Confidential Information. Extraction depends on legal obligation, permission, or prohibition, negative wording, and the breadth of the clause. The cited spans must be read together; no single span supplies the complete answer."
162,nda-10,Entailment,"3.1.4 ""Confidential Information"" means, without limiting the generality of the term: -
---
3.1.4.6. the existence of this Agreement and its contents; and
---
3.1.4.7. the fact that discussions and/or negotiations are taking place (and, in the event of their termination, have taken place) and the content of those discussions and/or negotiations.
---
15.1 Subject to in terms of clause 4, each Party undertakes to keep confidential and not to disclose to any third party, save as may be required in law (including by the rules and/or listings requirements of any securities exchange on which the securities of a Party or its Affiliates may be listed, where applicable) or permitted in terms of this Agreement, the nature, content or existence of this Agreement.
---
No announcements of any nature whatsoever will be made by or on behalf of a Party relating to this Agreement without the prior written consent of the other Parties, save for any announcement or other statement required to be made in terms of the provisions of any law (or by the rules and/or listings requirements of any securities exchange on which the on which the securities of a Party or its Affiliates may be listed, where applicable), in which event the Party obliged to make such statement will first consult with the other Parties to enable them in good faith to attempt to agree the content of such announcement, which (unless agreed) must go no further than is required in terms of such law or rules.",P01,"P02, P07, P08, P09",P01=undertakes to|must|will; P02=not|without; P07=third party|Affiliates|Parties; P08=any|each|including,Multi-span,No divergence,High,5,"The cited evidence supports confidentiality of the existence or negotiation of the agreement. Extraction depends on legal obligation, permission, or prohibition, negative wording, and the identity or role of the relevant party. The cited spans must be read together; no single span supplies the complete answer."
162,nda-2,Contradiction,"3.1.4 ""Confidential Information"" means, without limiting the generality of the term: -
---
3.1.4.1 technical, scientific, commercial, financial and market information, trade partners, potential clients, trade leads and trade secrets, and all other information in whatever form, whether in writing or not, whether or not subject to or protected by common law or statutory laws relating to copyright, patent, trademarks, registered or unregistered, or otherwise, disclosed or communicated to the Receiving Party or acquired by the Receiving Party from the Disclosing Party pursuant to this Agreement or the Discussions;
---
3.1.4.2 data concerning business relationships, services, customers and personnel;
---
3.1.4.3 information relating to the strategic objectives and planning of such party’s future commercial needs;
---
3.1.4.4 information or material proprietary to or deemed to be proprietary to a Party; information designated as confidential by a Party; all intellectual property of a Party and associated material and documentation including information contained therein; the research and development, techniques and contractual arrangements of a Party; the details of a Party’s relationship with third parties, the names of a Party’s current or prospective business associates and customers and their requirements; the client base and business contacts of a Party; details of a Party’s financial structure and business activities; the marketing, pricing and other policies of a Party;",P06,"P08, P09",P06=means|Confidential Information|Disclosing Party; P08=all|including,Multi-span,No divergence,High,3,"The cited evidence contradicts the claim that Confidential Information is limited to technical information. Extraction depends on a defined-term dependency, the breadth of the clause, and integration of multiple dependent clauses. The cited spans must be read together; no single span supplies the complete answer."
162,nda-1,Contradiction,"3.1.4 ""Confidential Information"" means, without limiting the generality of the term: -
---
3.1.4.5 all and any information or data in whatever form (including in oral, written, electronic and visual form) relating to the Disclosing Party or any of its Affiliates and which is obtained by the Recipient or its Representatives pursuant to any presentations, discussions, negotiations or other interactions (even if not marked as being confidential, restricted, secret, proprietary or the like);
---
If the Recipient is uncertain as to whether any information is Confidential Information, the Recipient shall treat such information as confidential until the contrary is agreed by the Disclosing Party in writing.",P06,"P08, P09",P06=means|Confidential Information|Representatives; P08=all|any|including,Multi-span,No divergence,High,3,"The cited evidence contradicts the express-identification requirement. Extraction depends on a defined-term dependency, the breadth of the clause, and integration of multiple dependent clauses. The cited spans must be read together; no single span supplies the complete answer."
162,nda-19,Entailment,"The expiration or termination of this Agreement shall not affect such of the provisions of this Agreement as expressly provide that they will operate after any such expiration or termination or which of necessity must continue to have effect after such expiration or termination, notwithstanding that the clauses themselves do not expressly provide for this.
---
For the avoidance of doubt, the obligations of confidentiality contained in this Agreement will continue to apply to such retained Confidential Information.
---
This clause 19 will continue to be binding on the Parties notwithstanding any termination or cancellation of the Agreement.
---
The expiration or termination of this Agreement shall not affect such of the provisions of this Agreement as expressly provide that they will operate after any such expiration or termination or which of necessity must continue to have effect after such expiration or termination, notwithstanding that the clauses themselves do not expressly provide for this.",P05,"P01, P03, P08",P05=continue to apply|termination|expiration; P01=shall not|shall|must; P03=notwithstanding; P08=any,Multi-span,No divergence,High,4,"The cited evidence supports survival of obligations after termination. Extraction depends on timing, termination, or duration, legal obligation, permission, or prohibition, and an exception or carve-out."
162,nda-12,NotMentioned,N/A,P10,,,None,No divergence,High,1,The contract does not directly address permission to develop similar information independently. Inferring the usual NDA position despite the silence would create a NotMentioned hallucination risk.
162,nda-20,Entailment,"The Disclosing Party may, at any time, request the Receiving Party to return any material containing, pertaining to or relating to Confidential Information and may, in addition request the Receiving Party to furnish a written statement to the effect that, upon such return, the Receiving Party has not retained in its possession, or under its control, either directly or indirectly, any such material.
---
The Recipient shall not be required to return, destroy or delete Confidential Information to the extent that it is required to retain such Confidential Information by law or to satisfy the rules and regulations of a regulatory body to which the Recipient or any permitted person is subject.",P03,"P01, P08, P09",P03=to the extent; P01=shall not|is required to|may; P08=any,Multi-span,No divergence,High,4,"The cited evidence supports permission to retain Confidential Information after return or destruction. Extraction depends on an exception or carve-out, legal obligation, permission, or prohibition, and the breadth of the clause. The cited spans must be read together; no single span supplies the complete answer."
162,nda-3,Entailment,"3.1.4 ""Confidential Information"" means, without limiting the generality of the term: -
---
3.1.4.1 technical, scientific, commercial, financial and market information, trade partners, potential clients, trade leads and trade secrets, and all other information in whatever form, whether in writing or not, whether or not subject to or protected by common law or statutory laws relating to copyright, patent, trademarks, registered or unregistered, or otherwise, disclosed or communicated to the Receiving Party or acquired by the Receiving Party from the Disclosing Party pursuant to this Agreement or the Discussions;
---
3.1.4.5 all and any information or data in whatever form (including in oral, written, electronic and visual form) relating to the Disclosing Party or any of its Affiliates and which is obtained by the Recipient or its Representatives pursuant to any presentations, discussions, negotiations or other interactions (even if not marked as being confidential, restricted, secret, proprietary or the like);",P06,"P08, P09",P06=means|Confidential Information|Representatives; P08=all|any|including,Multi-span,No divergence,High,3,"The cited evidence supports the inclusion of verbally conveyed information. Extraction depends on a defined-term dependency, the breadth of the clause, and integration of multiple dependent clauses. The cited spans must be read together; no single span supplies the complete answer."
162,nda-18,NotMentioned,N/A,P10,,,None,No divergence,High,1,"The contract does not address solicitation, recruitment, or hiring of the Disclosing Party's representatives; ordinary employee-access language is not a solicitation rule."
162,nda-7,Entailment,"3.1.8 ""Permitted Person"" means – the Representatives of the Recipient; and any other person to whom the Recipient discloses Confidential Information with the prior written consent of the Disclosing Party;
---
3.1.12 ""Representatives"" means, in respect of a Party, such Party’s Affiliates and its and their respective directors, officers, partners, members, employees, agents, accountants, lawyers or consultants; and
---
The Recipient shall be entitled to disclose the Confidential Information only to Permitted Persons, and then only to the extent that such disclosure is necessary for the Permitted Purpose and on a ""need to know"" basis.",P07,"P01, P06, P08, P09",P07=Disclosing Party|Representatives|employees; P01=shall; P06=means|Confidential Information|Representatives; P08=need to know|only|any,Multi-span,No divergence,High,5,"The cited evidence supports permission to disclose Confidential Information to third parties or advisers. Extraction depends on the identity or role of the relevant party, legal obligation, permission, or prohibition, and a defined-term dependency. The cited spans must be read together; no single span supplies the complete answer."
162,nda-17,Contradiction,"4.2 All Confidential Information disclosed by the Disclosing Party to the Recipient or which otherwise comes to the knowledge of the Recipient, is acknowledged by the Recipient –
---
The Recipient irrevocably and unconditionally agrees and undertakes
---
4.3.5 not to copy or reproduce the Confidential Information by any means without the prior written consent of the Disclosing Party, it being recorded that any copies shall be and remain the property of the Disclosing Party; and
---
Unless the Parties otherwise agree in writing, any documentation or records relating to the Disclosing Party’s Confidential Information which comes into the possession of the Receiving Party during the existence of this Agreement:
---
7.5.3 shall not be copied, reproduced, published or circulated by the Receiving Party;",P03,"P01, P02, P08",P03=Unless; P01=shall not|undertakes|shall; P02=shall not|not|without; P08=All|any,Multi-span,Possible divergence,Medium,4,"The copying prohibition is limited to unauthorised copying or copying without prior consent, which implies that authorised copies may be made. The Contradiction label is therefore debatable."
162,nda-8,Entailment,"In the event that the Recipient is required to disclose Confidential Information pursuant to a requirement or request by operation of law, regulation or court order or rules governing a securities exchange on which the Recipient is listed or about to be listed, it will –
---
6.1.1 advise the Disclosing Party thereof in writing prior to disclosure, if possible;
---
6.1.5 notify the Disclosing Party of the Recipient of, and the form and extent of, any such disclosure or announcement immediately after it is made",P04,"P01, P07, P08, P09",P04=In the event that|if; P01=is required to|will; P07=Disclosing Party|Recipient|Party; P08=any,Multi-span,No divergence,High,5,"The cited evidence supports the duty to notify the Disclosing Party before compelled disclosure. Extraction depends on a triggering condition, legal obligation, permission, or prohibition, and the identity or role of the relevant party. The cited spans must be read together; no single span supplies the complete answer."
162,nda-13,Entailment,"The undertakings given by the Recipient in this Agreement shall not apply to any information which –
---
7.3.3 has lawfully become known by or come into the possession of the Recipient on a non-confidential basis from a source other than the Disclosing Party or any of its Affiliates having the legal right to disclose same, provided that such knowledge or possession is evidenced by the written records of the Recipient existing at the Signature Date;
---
7.3.4 has been rightfully acquired from a third party having an unrestricted legal right to disclose the same;",P02,"P06, P07, P08, P09",P02=shall not; P06=Affiliates|Disclosing Party|Recipient; P07=Disclosing Party|third party|Affiliates; P08=any,Multi-span,No divergence,High,5,"The cited evidence supports permission to obtain similar information from a third party. Extraction depends on negative wording, a defined-term dependency, and the identity or role of the relevant party. The cited spans must be read together; no single span supplies the complete answer."
162,nda-5,Entailment,"3.1.8 ""Permitted Person"" means – the Representatives of the Recipient; and any other person to whom the Recipient discloses Confidential Information with the prior written consent of the Disclosing Party;
---
3.1.12 ""Representatives"" means, in respect of a Party, such Party’s Affiliates and its and their respective directors, officers, partners, members, employees, agents, accountants, lawyers or consultants; and
---
The Recipient shall be entitled to disclose the Confidential Information only to Permitted Persons, and then only to the extent that such disclosure is necessary for the Permitted Purpose and on a ""need to know"" basis.",P07,"P01, P06, P08, P09",P07=Disclosing Party|Representatives|employees; P01=shall; P06=means|Confidential Information|Representatives; P08=need to know|only|any,Multi-span,No divergence,High,5,"The cited evidence supports permission to disclose Confidential Information to employees. Extraction depends on the identity or role of the relevant party, legal obligation, permission, or prohibition, and a defined-term dependency. The cited spans must be read together; no single span supplies the complete answer."
162,nda-4,Entailment,"4.2 All Confidential Information disclosed by the Disclosing Party to the Recipient or which otherwise comes to the knowledge of the Recipient, is acknowledged by the Recipient –
---
The Recipient irrevocably and unconditionally agrees and undertakes
---
4.3.2 not to use or permit the use of the Confidential Information for any purpose other than for the Permitted Purpose and, in particular, not to use or permit the use of the Confidential Information, whether directly or indirectly, to obtain a commercial, trading, investment, financial or other advantage over the Disclosing Party and/or its Associates or otherwise use it to the detriment of the Disclosing Party and/or its Associates;",P03,"P01, P02, P08",P03=other than; P01=undertakes; P02=not; P08=All|any,Multi-span,No divergence,High,4,"The cited evidence supports the restriction of use to the stated contractual purpose. Extraction depends on an exception or carve-out, legal obligation, permission, or prohibition, and negative wording."
163,nda-11,NotMentioned,N/A,P10,,,None,No divergence,High,1,The contract does not directly address the prohibition on reverse engineering. Inferring the usual NDA position despite the silence would create a NotMentioned hallucination risk.
163,nda-16,Entailment,"Recipient agrees to destroy or return to Discloser all copies of Proprietary Information promptly upon the earlier of
---
(b) the duration of the confidentiality period established in Section 8(a) of this Agreement.",P05,"P01, P08, P09",P05=confidentiality period; P01=agrees to; P08=all,Multi-span,Possible divergence,Medium,4,"The evidence triggers return or destruction on request, completion of an activity, or another event rather than termination of the Agreement itself. Entailment depends on treating those events as equivalent."
163,nda-15,Entailment,Recipient may not assert any claim of title or ownership to the Proprietary Information or any portion thereof.,P01,"P02, P08",P01=may not; P02=may not; P08=any,Single-span,No divergence,High,3,"The cited evidence supports the denial of licence or other rights in Confidential Information. Extraction depends on legal obligation, permission, or prohibition, negative wording, and the breadth of the clause."
163,nda-10,NotMentioned,N/A,P10,,,None,No divergence,High,1,The contract does not directly address confidentiality of the existence or negotiation of the agreement. Inferring the usual NDA position despite the silence would create a NotMentioned hallucination risk.
163,nda-2,Contradiction,"“Proprietary Information” means any confidential, proprietary, or trade secret information concerning Discloser’s
---
(a) customers’ identity, finances, and data, and
---
(b) personnel, business practices, business policies, the terms of any agreements between the Parties, pricing information, information relating to research and development, know-how, methodologies, inventions, specifications, software, market analyses, research strategies, projections, forecasts, proposal related documents and responses, data center and/or facility procedures and operations, data center and/or facility audit results, and compilations, summaries, analyses, copies, or other reproductions, in whole or in part, of the foregoing, except to the extent to which Recipient can establish by legally sufficient evidence that such information:",P06,"P08, P09",P06=means|Proprietary Information|Recipient; P08=in whole or in part|any,Multi-span,No divergence,High,3,"The cited evidence contradicts the claim that Confidential Information is limited to technical information. Extraction depends on a defined-term dependency, the breadth of the clause, and integration of multiple dependent clauses. The cited spans must be read together; no single span supplies the complete answer."
163,nda-1,Contradiction,"Nothing disclosed under this Agreement is considered Proprietary Information unless
---
(a) it is received in a tangible form and is marked “confidential” or “proprietary”,
---
(b) is received in intangible form and is followed up within a reasonable period of time with a writing describing it and designating it as “confidential” or “proprietary”, or
---
(c) it is something by either the substance of which or the circumstances surrounding its disclosure would lead a reasonable person to believe it is confidential or proprietary.",P06,"P03, P08, P09",P06=Proprietary Information; P03=unless; P08=reasonable,Multi-span,No divergence,High,4,"The cited evidence contradicts the express-identification requirement. Extraction depends on a defined-term dependency, an exception or carve-out, and the breadth of the clause. The cited spans must be read together; no single span supplies the complete answer."
163,nda-19,NotMentioned,N/A,P10,,,None,No divergence,High,1,The contract does not directly address survival of obligations after termination. Inferring the usual NDA position despite the silence would create a NotMentioned hallucination risk.
163,nda-12,Entailment,"“Proprietary Information” means any confidential, proprietary, or trade secret information concerning Discloser’s
---
(b) personnel, business practices, business policies, the terms of any agreements between the Parties, pricing information, information relating to research and development, know-how, methodologies, inventions, specifications, software, market analyses, research strategies, projections, forecasts, proposal related documents and responses, data center and/or facility procedures and operations, data center and/or facility audit results, and compilations, summaries, analyses, copies, or other reproductions, in whole or in part, of the foregoing, except to the extent to which Recipient can establish by legally sufficient evidence that such information:
---
(iv) is or was independently developed by or for Recipient without use or reference to the Proprietary Information or",P06,"P08, P09",P06=means|Proprietary Information|Recipient; P08=in whole or in part|any,Multi-span,No divergence,High,3,"The cited evidence supports permission to develop similar information independently. Extraction depends on a defined-term dependency, the breadth of the clause, and integration of multiple dependent clauses. The cited spans must be read together; no single span supplies the complete answer."
163,nda-20,Entailment,"Recipient agrees to destroy or return to Discloser all copies of Proprietary Information promptly upon the earlier of
---
(a) Discloser’s request at any time, or
---
(b) the duration of the confidentiality period established in Section 8(a) of this Agreement.",P05,"P01, P07, P08, P09",P05=confidentiality period; P01=agrees to; P07=Recipient|Discloser; P08=all|any,Multi-span,Possible divergence,Low,5,The cited spans require return or destruction after a request or the confidentiality period and do not contain a retention permission. The Entailment label appears inconsistent with the supplied evidence.
163,nda-3,Entailment,"Nothing disclosed under this Agreement is considered Proprietary Information unless
---
(b) is received in intangible form and is followed up within a reasonable period of time with a writing describing it and designating it as “confidential” or “proprietary”, or",P06,"P03, P05, P08, P09",P06=Proprietary Information; P03=unless; P05=within a reasonable period of time; P08=reasonable,Multi-span,Possible divergence,Medium,5,The evidence uses broad mode language such as intangible or however disclosed but does not expressly say oral or verbal. Entailment therefore depends on a breadth inference. breadth gap
